Piece in a rockhounds collection,Geode
Have a good time. ,enjoy
Demeter's counterpart,ceres
News brief. ,item
'Vogliatemi ___' (aria from 'Madama Butterfly'),bene
Bridge or turn ,table
"Blank screen for viewer ___ why advertise, as you might say (wordplay)",white out
"'Least said, mended'",soonest
"Lack of excitement, in a way, before close of play",apathy
Part of a poem ,stanza
Shoals,banks
A pardon for the first woman with her deadly box,Pandora
"Move, in 5-Down lingo",relo
Choice word,nor
Cro- ___,Magnon
Aerobic chorus for Olivia (wordplay),letsgetphysical
Cut in two,Halve
Margins of superiority,edges
Not carrying a piece (wordplay),clean
Big name in women's apparel since 1949,Evan Picone
Dada artist Jean ___,arp
"'To Evening', for example",ode
Etoile on the U.S. flag,et at
Free-for-all on the diamond.,rhubarb
"""Aren't you ___ of sunshine today""",a ray
Thickskulled. ,stupid
"City where a-ha was formed, 1977",Oslo
Jaegers.,sku as
Type of factor,risk
"""Camino ___."" ",real
"'The true one will let his wife starve', having bad traits",artist
Kiev river,dnieper
"*""Boulevard Montmartre"" series painter",Camille Pissarro
Personality before a drastic makeover,old me
Awaken.,come to
Solid alcohol,sterol
Quite lovely,pretty
Montessori and Ouspenskaya,Marias
Powerful circular current of water,vortex
Hallstand ,Hatrack
...and not the ___ (Deut. 28:13),tail
Street music with beat,strap
Be dishonest,lie
Increases,hikes up
Creature of Scandinavian folklore,troll
"Director of ""It's a Wonderful Life""",capra
Fair play with no lemon (wordplay),justice
"4, so speeding 7 might be asked to (wordplay)",pull
"Tenerife, Fuerte-ventura, etc. ",canaries
Aptly named shaving lotion brand,aft a
Multi-generational story,saga
Drawing-rooms. ,salons
Stick with what the white guy said (wordplay),impale
Defensible,tenable
Tennis lesson subject,grip
Her theme is famous,nadia
Harvest. ,crops
Flavors.,seasons
Dropped peace sign,dove
"Ameche's ""Cocoon"" costar",cronyn
Added clause ,rider
Psychiatrist right to leave row,feud
"___ River, N.J.",toms
Zipper substitute,Velcro
Exhibitionist reports that this is done retrospectively at first,nudist
Geisha's sash,obi
Pull Over rapper,trina
Regularly repeated,cyclic
Icedtea addin,lemon
First phase for Mbango Etone,hop
Of tears or weeping,Lachry Mal
Cattle for market,Trail Herd
This is  of the emergency,at est
To pray It. ,or are
___ time did I say that was okay!,at no
Specialty of the two-faced. ,double talk
She resurrected Osiris,isis
Marx ,harpo
Vast,unlimited
"""Receiving poorly,"" to a CBer",ten one
"A person's relatives, goes with kith",kin
Pale-green beans,limas
Revival replies,amens
Breakwater.,Mole
Upper limit set and suspended by Congress,debt ceiling
A barber has to work around it,ear
Refined comestible used by most cooks,table salt
"Fruit of forgetfulness, in literature ",lotus
"""Missiles"" at a wedding ",rice
"On liberty, for example",a shore
"Thing you should get if you're frisky, briefly",std test
Bio of a sort,obit
Paper rebates Abbreviation ,CRS
U.K. opponent in the Falklands War,arg
Oater's OK,ye p
Word after gravy or banana,boat
A quivering.,tremor
Similar. ,parallel
"Snitch, slangily",rat
Elated ,ten feet tall
Cook fish ahead of time for group of workers,shift
"With 52 Across, Arctic vehicle",dog
Duracell spec,AAA
Dramatic intro,tada
Grateful Dead cofounder Bob,weir
Beaten-up car's sporty roof (wordplay),TTop of the heap
1980s sitcom kid Meyers,ari
Without fear.,a weless
On ___ (hot at Reno) ,a roll
'Lion of the Desert' role,Omar
Book typo,erratum
One who is an expert in their field (wordplay),umpire
Semite. ,arab
"Actor Sam of the ""Jurassic Park"" series",neill
Name idiot having gold as capital,nassau
Cash that is found in studies,readies
"Mastroianni's costar in ""La Dolce Vita""",Ekberg
"P ___ ""pheasant""",as in
Dramatic beginning,Melo
1960s-'70s actress Welch,Raquel
Prosperous person's verb,save
"Easy to catch, say",slow
Concludes dispatch moving leader to the Far East,ends
Short auto ride. ,spin
Part of an act,scene v
It's what's for dinner,eats
Didnt rent,owned
PC keys,ESCS
To be found in the general area of Thackeray's Barry Lyndon,Moonlit
1994 Isaac Asimov Award winner,Sagan
Newsleader Lewis,huey
Montana county seat named for a nonnative creature,an aconda
Amerindian,Sioux
Top-grossing domestic film of 1990,home alone
Natural coat,rime
Became perfectly juicy,ripened
Heston role,elcid
Notorious singer of the national anthem at a 1990 baseball game,barr
Sign seen around crossing guards,school zone
Is there a bee so gross as this (wordplay),obese
Corrupt,soil
Where Agamemnon embarked,aulis
C&W banjoist Scruggs,Earl
Old entertainer responsible for trick of the light (wordplay),Magic lantern
Part of a ship above the water line,top sides
Silvery-white metallic element,potassium
A political position,right
Workplace-regulating agency,Osha
Love to Laver,zero
In dilapidation.,ruined
Offends.,Errs
Trailer units,scenes
Perform as a group supporting (wordplay),bearing
PCtoPC correspondence,email
Poem by Virgil Var. ,eneid
Greenery. ,leaves
___-walsy ,palsy
Melted down fat or gave performance,rendered
Most popular cartoon show in the Middle East (wordplay),iraqi and bullwinkle
Advertising eye-catchers,logos
Banquet tribute,to ast
Thaw. ,melt
"In succession from first to tenth, say",ordinally
Scratching ___ (cat's toy),post
Rehabber's setback,relapse
Member of a cruise ship band (wordplay),sea bassist
Decorative fold on a garment,Lappet
One atop the standings,leader
Chronological unit,era
Single-person shows,solos
Act. ,statute
Verse writers Muse,era to
"Mother loses youth, gets some compensation",damages
Gael. ,Kelt
Money from Milan,Lira
Absolute,out and out
Popular composer.,Berlin
Chicago-to-Atlanta dir.,SSE
Book made by printing eight pages of text on each side of a sheet,octavo
Logs for building Kon-Tiki. ,balsas
Gone wrong,awry
Sounds like head of Government is awake and heard at the Curragh regularly,gee up
"A temporary halt to the game, for short",time
Banks on expenditures being perfect - it's a demand!,expect
Part 5 of quote,out twice as
Steak source,tuna
Subjoin,append
Any attempt. ,shot
Time lost in expensive leak,seep
Crimson's foe.,ELI
Flavor.,lime
"Teachers never retire, they just ___",Mark Time
Angered,riled
Logical opening (wordplay),ECO
Sydney Omar et al.,leos
River bounding Uruguay and Paraguay. ,APA
Getting exclusive to deliver a number around a group of farmers,scooping
___ Believe in Magic (1965 hit),do you
"Ned turns up at last with Tom, boy",Hoyden
St. Benedict's recruits,monks
Famed lexicographer-author: 1758-1843,Webster
Underground home for bats,cave
Professor Snape's first name,severus
Work unit that appears far less often in crosswords than 'erg',Joule
Pioneer,Trailblazer
U.S. novelist.,uris
Dwarf plants. ,treelets
They bring word that the times are out of joint,messages
What either of Noah's dromedaries provided (wordplay),Humpon Board
Eng. start-up,ign
"Pumps, for instance",shoes
Middle Eastern people,afghan i
A saucy skip,caper
Vertical line weight,Plumb Bob
Railway: Colloq.,road
I need it yesterday!,now
It got worn when one was riding inside,eroded
Airplane at Orly.,avion
Perform what follows: Mus.,segue
Ailurophile,cat person
Contents of a 56-Across,beer
Bound by routine,in arut
Holiday and Quality,inns
"4,480 square yards",acre
Figures of speech (wordplay),orators
Cross-country part of a biathlon,skiing
For some time wonder about rise being cut,a while
Patient wife of Odysseus,penelope
Reference book ,whos who
Ghostwriter of 'The Prague Cemetery' (wordplay),ECO
Scorn rather than cheer,jeer
"Ginger's ""Gilligan's Island"" hutmate",Mary Ann
Stomach upset,tummy bug
Essence of ___ (cooking show),emeril
Nose ___.,cone
Gossip units,tidbits
Fatty liquid,Olein
Filter,screen out
Ludacris or Xzibit offering,rap
God holders,snub
City midway between Buffalo and Cleveland,Erie
I'm disturbed by some dismissals from security,bail
Spring time ,April
Type of notebook,spiral
Glued together part of the skeleton around back of head - it's disjointed to begin with,bonded
Dismissive sorts,axmen
Throwback pop (wordplay),nehi
Military tribunal,court martial
Botanist's interest,flora
"Suffix meaning ""state or condition""",OS is
Paris station ,g are
Ruler finally executed in drastic uprising,tsar
First person in Bonn,ich
Humiliate husband in uniform,shame
MidMarch merrymakers,irish
"Reuben, Reuben author Peter",de vries
Groundwork ,basis
Picture-puzzle,rebus
Dairy worker. ,churner
A great number. ,army
To trouble,ail
Different parent starts late,other
They're not vets yet,gis
Striking team-mates!,side kicks
'I was impervious to constant chatter',Gabjust Flewbyme
Soft drink with the Willis Tower on the label,chicagorootbeer
Finishes off big job you pronounced a gem,bijou
Carl Sagan's PBS series,Cosmos
Precursor of Shakespeare.,Geoffrey Chaucer
Wooden or wire barrier,fence
Biog. note for Plutarch,aet
Ex-baseball boss Bowie,Kuhn
Ambient 1: Music for Airports composer Brian,eno
Be inclined to be skinny,lean
"Downton Abbey, for example",manor
"Jewish-American performance artist with a January 17 birthdate, who in a 1999 biopic was played by Jim Carrey (who also has a January 17 birthdate)",Andy Kaufman
Order no spectacles if that's the case,eyes right
NonHispanic,anglo
'___ for Cookie' ('Sesame Street' tune),cis
It's west of R.I.,conn
Capital of Alpes-Maritimes Department,nice
Lets the other car go first,yields
Lefty who won the  Cy Young Award,Spahn
Judicial system's participant,grand juror
Unit of electromotive force. ,volt
Air group ,tac
Votaries of the arts.,esthetes
"Eckhart of ""Olympus Has Fallen""",Aaron
"Ling Ling, for one ",panda
Delta locale,rivermouth
Common periodical name,digest
"Changes, in a way",edits
Sad fib one treated in good faith,bonafides
Pop RB singer Labelle,Patti
Nimble: Fr.,Leste
It's used in school,eraser
Commercial: Slang.,plug
Where Ruggles discovered America.,red gap
Have a dip with one male and the French male,purlieu
Fastened in between the first of Charles and the first of Edward,chained
Highest points,tops
Easily transportable plantation product (wordplay),Rollaway Cotton
"In passing, this is always a grave business",death
Material used for furniture. ,rattan
Nick neck,collar
Lyricist Rice,tim
Muck up,botch
"Water, at a French restaurant",eau
Cathedral city in north-west France,chartres
Replace deputy,substitute
"Spiked, like punch",laced
Note a whole step above B,dfl at
Cant help but,has to
Stan the Man.,Musial
Langston Hughes's '___ Unashamed',cora
Things within a stone's throw ,glass houses
You can dig it!,or e
Lighting controller's not so clever,dimmer
Home row,marital spat
Weaken,fade
Cat-and-mouse action,Chase
Gloss. ,shine
Use endless charity when performing church service,eucharist
Question model,poser
Fawning subordinate,yes man
"Hamlet's ""before"" ",ere
Post office abbreviation. ,rfd
Great suffering,torment
Boulogne bird,oiseau
Chinese Buddhists creed,foism
"""Oh, don't forget, ___""",bring your own
Space heater's output,warmair
Blue pigment,azure
A troupial ,oriole
"Mahalo nui ___ (""Thank you very much,"" in Hawaiian)",loa
Mattress menace,bed bug
Accompanying car,escort
Kind of American ,all
Bronze Star.,medal
Tie; problem situation,bind
Feeling of anger or vexation caused by wounded pride,Pique
Hindu honorific,baboo
Cherry-red.,cerise
Ben initially ingratiated with relatives' blessings,benisons
Bodies of people under single governments,countries
Stock-market declines ,slumps
"Error to carefully avoid, for example",split infinitive
"""___ means!"" ",by all
Body treatment facility,spa
Emulates Ruth,swats
Refuse liquid,sewerage
Map subject,genome
Some bands,elastics
A Bronte comes back from hospital with added colour,Henna
Pirates moniker,redbd
Lower East Side delicacy ,Knish
The cerebrum and cerebellum are divided into two of these,hemispheres
Work units,joules
eg Pancras,saint
Golf-cart descriptor,low speed
"He wrote ""Swiss Family Robinson""",WYSS
Ornamental stamp.,seal
"Boot camp, typically",or deal
"It takes a firm, grand close look to make this rank all the same",compeer
Bikes,pedals
'Reginald in Russia' writer,Saki
Ancients from Britain or from tropics,picts
Mo. after Mar.,a pr
Cousin of a walk-on,cameo
Olla podrida. ,stew
"Pick on the field, for short",in t
Word heard topside ,Alee
Certain zinger,Riposte
"Ocean (with ""the"").",deep
Norse pantheon,aes
One who commands - often seen in the classroom,ruler
The rowdy way they come from South America to you and me,riotous
Apt name for a Dalmatian,spot
"Honda, even in reverse",civic
"After I, J, K, L ",mnop
Not at all,nary
Brand in a brown bag,zip loc
Title for Paul McCartney or Mick Jagger,sir
Sound of censure,tsk
Roget's wd.,syn
Motherlode yield,or e
Beg for an ice pack (wordplay),a che
Silvery game fish.,pintados
Sister brand of Smucker's jam,JIF
Merit.,worth
Calm.,poise
Turn red with embarrassment,blush
Arches in a vault. ,ribs
"Part of building rented, one with restricted lift facility",winglet
Like some writing paper,lined
Let There Be Rock band,a cdc
The inferior is shy of,under
'Bug off!',scat
"Crowned with hair, old style",tressy
Wolf Larsens ship,ghost
"Bing's co-star in ""The Bells of St. Mary's""",in grid
Dickens character. ,Dora
Oscar offenses,snubs
Big-serving Safin,Marat
Under solar illumination,sunlit
Abs' region,core
Place for etudiants ,Ecole
Button below the 8,oper
Gov. Hatfield's capital. ,Salem
Brief news stories used as fillers,squibs
Wooden peg ,nog
Rouse Kenneth. It's away for the Scots,awaken
Cane spirit,rum
Cold war ammunition (wordplay),snow b
Candy eaten in handfuls,mandms
Person presiding,chair
Currency unit of Moroccompany,dirham
___ -European,in do
Old two-shilling piece,florin
Shinto leader in state of release with positive affirmation of the church,basilican
Bill left on slate possibly for seasoning,table salt
Gloomy Gus,naysayer
"Bambi, at first",fawn
Threaten a classic comedienne like a talk-show host (wordplay),menacediller
What the devil is one M.D. doing here (wordplay),demon
Holds up,exalts
Froglike.,ranid
"""Sweet Love"" R&B singer",Anita Baker
show street spectacle,raree
Jezebel's spouse. ,a hab
Interpol papers,dossier
Shoots the breeze,chats
Phony baloney,sham
Stone Prefix. ,lith
"Dismiss, informally",axe
Poet Ella Wheeler ___,Wilcox
Singer/pianist Jones,norah
Rare animals,pandas
Nazi secret police,gestapo
Greeting that may have a GIF,e card
Ecole event ,lecon
Runs swiftly,scuds
They gasconade,boasters
Chubby Checker's exhortation,do the twist
In ___ (wholly) ,to to
Spanish president,Azana
Japanese sashes worn over kimonos,obis
Cut down trees ,fell
Bess' partner,porgy
Prestidigitation prop,w and
Colorado's time zone abbreviation ,mst
Move gingerly,ease
"Girl's name, French style. ",therese
"Beam ___, Scotty",me up
A funny thing happened on the way to this in an old musical,forum
Adam Yauch's Beastie Boys moniker,MCA
Bromidic ,dull
Site of residential relaxation,porch swing
"Tomorrow, to many New Yorkers",Manana
